Invoice ID,Branch,City,Customer type,Gender,Product line,Total,Date,Payment
852-82-2749,A,London,Normal,Male,Sports and travel,271.278,2019-01-06,Ewallet
704-11-6354,A,London,Member,Male,Home and lifestyle,494.76,2019-01-06,Cash
826-58-8051,B,Berlin,Normal,Male,Home and lifestyle,261.198,2019-01-06,Ewallet
729-06-2010,B,Berlin,Member,Male,Health and beauty,760.4415,2019-01-06,Cash
393-65-2792,C,Warsaw,Normal,Male,Food and beverages,939.54,2019-01-06,Credit card
490-29-1201,A,London,Normal,Female,Sports and travel,16.107,2019-01-06,Cash
662-72-2873,A,London,Normal,Female,Food and beverages,214.935,2019-01-06,Ewallet
834-25-9262,C,Warsaw,Normal,Female,Fashion accessories,343.056,2019-01-06,Cash
846-10-0341,A,London,Normal,Female,Fashion accessories,312.8895,2019-01-06,Cash
126-54-1082,A,London,Member,Female,Home and lifestyle,203.553,2019-01-07,Credit card
109-28-2512,B,Berlin,Member,Female,Fashion accessories,614.943,2019-01-07,Ewallet
799-71-1548,A,London,Member,Male,Electronic accessories,326.4240000000001,2019-01-07,Credit card
566-19-5475,B,Berlin,Normal,Male,Fashion accessories,352.5795,2019-01-07,Cash
526-86-8552,C,Warsaw,Member,Female,Home and lifestyle,229.11,2019-01-07,Cash
541-48-8554,A,London,Normal,Male,Sports and travel,575.9775,2019-01-07,Credit card
390-31-6381,C,Warsaw,Normal,Male,Food and beverages,85.743,2019-01-07,Cash
232-16-2483,C,Warsaw,Member,Female,Sports and travel,71.52600000000002,2019-01-07,Ewallet
889-04-9723,B,Berlin,Member,Female,Food and beverages,374.388,2019-01-07,Credit card
631-34-1880,C,Warsaw,Member,Male,Food and beverages,76.5765,2019-01-08,Credit card
484-22-8230,C,Warsaw,Member,Female,Fashion accessories,381.3915,2019-01-08,Cash
845-94-6841,C,Warsaw,Member,Female,Food and beverages,688.716,2019-01-08,Cash
387-49-4215,B,Berlin,Member,Female,Sports and travel,152.775,2019-01-08,Cash
840-76-5966,A,London,Member,Male,Sports and travel,26.796,2019-01-08,Ewallet
124-31-1458,A,London,Member,Female,Electronic accessories,250.7085,2019-01-08,Cash
442-44-6497,C,Warsaw,Member,Male,Home and lifestyle,175.0455,2019-01-08,Credit card
241-96-5076,B,Berlin,Member,Female,Home and lifestyle,103.11,2019-01-08,Credit card
490-95-0021,B,Berlin,Member,Female,Food and beverages,348.705,2019-01-08,Ewallet
257-60-7754,A,London,Normal,Female,Electronic accessories,210.966,2019-01-08,Cash
750-57-9686,C,Warsaw,Normal,Female,Home and lifestyle,190.596,2019-01-08,Credit card
189-08-9157,C,Warsaw,Normal,Female,Fashion accessories,299.8485,2019-01-08,Credit card
571-94-0759,B,Berlin,Member,Female,Food and beverages,783.3,2019-01-08,Cash
663-86-9076,C,Warsaw,Member,Female,Food and beverages,575.736,2019-01-08,Ewallet
767-97-4650,B,Berlin,Member,Female,Sports and travel,136.143,2019-01-08,Credit card
457-13-1708,B,Berlin,Member,Male,Fashion accessories,684.915,2019-01-08,Credit card
192-98-7397,C,Warsaw,Normal,Male,Fashion accessories,13.419,2019-01-08,Ewallet
674-15-9296,A,London,Normal,Male,Sports and travel,194.985,2019-01-08,Ewallet
867-47-1948,C,Warsaw,Normal,Female,Home and lifestyle,165.9,2019-01-09,Cash
189-40-5216,C,Warsaw,Normal,Male,Electronic accessories,708.3195,2019-01-09,Cash
288-62-1085,A,London,Member,Male,Fashion accessories,202.335,2019-01-09,Ewallet
305-89-2768,B,Berlin,Member,Female,Home and lifestyle,68.985,2019-01-09,Ewallet
343-75-9322,B,Berlin,Member,Female,Sports and travel,99.54,2019-01-09,Cash
554-42-2417,C,Warsaw,Normal,Female,Sports and travel,1002.12,2019-01-09,Cash
263-10-3913,C,Warsaw,Member,Male,Fashion accessories,463.42800000000005,2019-01-09,Credit card
370-96-0655,C,Warsaw,Normal,Female,Fashion accessories,310.716,2019-01-09,Ewallet
873-51-0671,A,London,Member,Female,Sports and travel,161.553,2019-01-10,Ewallet
744-02-5987,A,London,Member,Male,Home and lifestyle,493.794,2019-01-10,Ewallet
241-11-2261,B,Berlin,Normal,Female,Fashion accessories,586.971,2019-01-10,Credit card
887-42-0517,C,Warsaw,Normal,Female,Sports and travel,611.0790000000002,2019-01-10,Credit card
226-34-0034,B,Berlin,Normal,Female,Electronic accessories,57.87600000000001,2019-01-10,Ewallet
603-07-0961,C,Warsaw,Member,Male,Electronic accessories,392.6475,2019-01-10,Cash
665-32-9167,A,London,Member,Female,Health and beauty,76.146,2019-01-10,Credit card
640-49-2076,B,Berlin,Normal,Male,Sports and travel,703.752,2019-01-10,Cash
577-34-7579,C,Warsaw,Member,Male,Food and beverages,477.1305,2019-01-10,Cash
289-15-7034,A,London,Member,Male,Sports and travel,345.786,2019-01-11,Credit card
130-67-4723,A,London,Member,Male,Food and beverages,305.55,2019-01-11,Ewallet
406-46-7107,A,London,Normal,Female,Home and lifestyle,608.076,2019-01-11,Cash
746-68-6593,C,Warsaw,Member,Female,Sports and travel,183.036,2019-01-11,Credit card
592-46-1692,C,Warsaw,Member,Female,Food and beverages,270.2595,2019-01-11,Cash
478-06-7835,A,London,Normal,Male,Fashion accessories,94.1745,2019-01-11,Ewallet
540-11-4336,A,London,Normal,Male,Food and beverages,235.683,2019-01-11,Credit card
732-67-5346,A,London,Normal,Male,Food and beverages,72.3975,2019-01-11,Credit card
197-77-7132,B,Berlin,Member,Male,Electronic accessories,769.1039999999998,2019-01-12,Ewallet
647-50-1224,A,London,Normal,Female,Fashion accessories,308.91,2019-01-12,Ewallet
659-36-1684,C,Warsaw,Member,Male,Sports and travel,419.832,2019-01-12,Credit card
848-07-1692,B,Berlin,Normal,Female,Health and beauty,120.162,2019-01-12,Ewallet
533-66-5566,B,Berlin,Normal,Female,Home and lifestyle,375.3645,2019-01-12,Cash
296-11-7041,B,Berlin,Member,Female,Health and beauty,28.4235,2019-01-12,Credit card
751-15-6198,B,Berlin,Normal,Male,Sports and travel,144.963,2019-01-12,Ewallet
381-20-0914,A,London,Member,Female,Fashion accessories,189.0945,2019-01-12,Credit card
704-48-3927,A,London,Member,Male,Electronic accessories,931.035,2019-01-12,Ewallet
852-62-7105,B,Berlin,Normal,Female,Fashion accessories,874.125,2019-01-12,Credit card
751-41-9720,C,Warsaw,Normal,Male,Home and lifestyle,1023.75,2019-01-12,Ewallet
556-86-3144,C,Warsaw,Member,Female,Fashion accessories,78.0045,2019-01-13,Cash
355-34-6244,B,Berlin,Normal,Male,Food and beverages,152.019,2019-01-13,Credit card
459-50-7686,A,London,Normal,Female,Electronic accessories,147.798,2019-01-13,Ewallet
784-08-0310,C,Warsaw,Member,Female,Food and beverages,88.368,2019-01-13,Cash
339-38-9982,B,Berlin,Member,Male,Fashion accessories,125.706,2019-01-13,Ewallet
195-06-0432,A,London,Member,Male,Home and lifestyle,255.1815,2019-01-13,Credit card
327-40-9673,B,Berlin,Member,Male,Sports and travel,457.38,2019-01-13,Cash
460-93-5834,A,London,Normal,Male,Sports and travel,335.0130000000001,2019-01-13,Cash
397-25-8725,A,London,Member,Female,Health and beauty,374.409,2019-01-13,Credit card
732-94-0499,C,Warsaw,Normal,Female,Electronic accessories,437.325,2019-01-13,Credit card
658-66-3967,C,Warsaw,Normal,Male,Health and beauty,390.9465,2019-01-14,Ewallet
377-79-7592,C,Warsaw,Member,Female,Electronic accessories,423.73800000000006,2019-01-14,Credit card
359-90-3665,B,Berlin,Member,Female,Fashion accessories,75.936,2019-01-14,Credit card
704-10-4056,C,Warsaw,Member,Male,Health and beauty,190.4805,2019-01-14,Credit card
667-23-5919,A,London,Member,Female,Fashion accessories,507.675,2019-01-14,Ewallet
592-34-6155,C,Warsaw,Normal,Male,Food and beverages,133.434,2019-01-14,Ewallet
559-61-5987,B,Berlin,Normal,Female,Health and beauty,18.6375,2019-01-14,Cash
785-13-7708,B,Berlin,Normal,Male,Food and beverages,536.991,2019-01-14,Credit card
868-52-7573,B,Berlin,Normal,Female,Food and beverages,523.3725,2019-01-14,Cash
320-85-2052,B,Berlin,Normal,Female,Sports and travel,36.5505,2019-01-14,Credit card
426-39-2418,C,Warsaw,Normal,Male,Electronic accessories,451.3635,2019-01-14,Cash
588-47-8641,A,London,Member,Male,Fashion accessories,588.42,2019-01-14,Ewallet
451-73-2711,C,Warsaw,Normal,Male,Food and beverages,89.0715,2019-01-14,Ewallet
660-29-7083,C,Warsaw,Normal,Male,Electronic accessories,586.635,2019-01-15,Cash
589-02-8023,A,London,Member,Male,Food and beverages,175.917,2019-01-15,Credit card
450-28-2866,C,Warsaw,Member,Male,Food and beverages,91.56,2019-01-15,Cash
188-55-0967,B,Berlin,Member,Male,Health and beauty,697.935,2019-01-15,Credit card
138-17-5109,A,London,Member,Female,Home and lifestyle,843.0345,2019-01-15,Credit card
272-65-1806,A,London,Normal,Female,Electronic accessories,575.316,2019-01-15,Ewallet
886-54-6089,A,London,Normal,Female,Home and lifestyle,72.009,2019-01-15,Cash
369-82-2676,B,Berlin,Normal,Male,Electronic accessories,397.215,2019-01-15,Ewallet
437-58-8131,B,Berlin,Normal,Female,Fashion accessories,154.392,2019-01-15,Ewallet
301-11-9629,A,London,Normal,Female,Sports and travel,140.385,2019-01-15,Cash
744-16-7898,B,Berlin,Normal,Female,Home and lifestyle,1022.385,2019-01-15,Credit card
314-23-4520,C,Warsaw,Member,Male,Health and beauty,597.0405,2019-01-15,Cash
299-46-1805,B,Berlin,Member,Female,Sports and travel,590.436,2019-01-15,Cash
659-65-8956,B,Berlin,Member,Male,Fashion accessories,53.928,2019-01-16,Ewallet
372-62-5264,C,Warsaw,Normal,Female,Food and beverages,497.07,2019-01-16,Cash
842-29-4695,C,Warsaw,Member,Male,Sports and travel,125.979,2019-01-16,Credit card
286-62-6248,B,Berlin,Normal,Male,Fashion accessories,164.68200000000004,2019-01-16,Credit card
859-71-0933,C,Warsaw,Member,Female,Sports and travel,32.529,2019-01-16,Cash
618-34-8551,A,London,Normal,Female,Sports and travel,195.678,2019-01-16,Credit card
677-11-0152,C,Warsaw,Normal,Female,Food and beverages,881.307,2019-01-16,Cash
234-65-2137,C,Warsaw,Normal,Male,Home and lifestyle,1003.59,2019-01-16,Cash
648-83-1321,A,London,Member,Male,Home and lifestyle,667.38,2019-01-16,Cash
347-72-6115,B,Berlin,Member,Female,Sports and travel,666.939,2019-01-16,Credit card
280-35-5823,B,Berlin,Member,Female,Home and lifestyle,91.056,2019-01-17,Ewallet
200-16-5952,C,Warsaw,Member,Male,Food and beverages,137.865,2019-01-17,Cash
746-54-5508,A,London,Normal,Male,Home and lifestyle,135.576,2019-01-17,Credit card
497-37-6538,A,London,Normal,Male,Sports and travel,432.9885,2019-01-17,Ewallet
445-30-9252,A,London,Normal,Male,Sports and travel,80.955,2019-01-17,Ewallet
349-97-8902,B,Berlin,Member,Male,Food and beverages,121.569,2019-01-17,Ewallet
600-38-9738,C,Warsaw,Member,Male,Sports and travel,377.58,2019-01-17,Credit card
698-98-5964,A,London,Normal,Female,Food and beverages,852.705,2019-01-17,Credit card
679-22-6530,B,Berlin,Normal,Female,Sports and travel,85.302,2019-01-17,Credit card
670-79-6321,B,Berlin,Member,Female,Home and lifestyle,695.2365,2019-01-17,Credit card
101-81-4070,C,Warsaw,Member,Female,Health and beauty,131.922,2019-01-17,Ewallet
700-81-1757,A,London,Normal,Female,Electronic accessories,138.1275,2019-01-18,Credit card
414-12-7047,B,Berlin,Normal,Male,Food and beverages,166.236,2019-01-18,Ewallet
706-36-6154,A,London,Member,Male,Home and lifestyle,182.952,2019-01-18,Ewallet
821-14-9046,B,Berlin,Member,Female,Fashion accessories,110.124,2019-01-18,Credit card
781-84-8059,C,Warsaw,Normal,Male,Fashion accessories,446.439,2019-01-18,Ewallet
622-20-1945,C,Warsaw,Normal,Female,Health and beauty,41.39100000000001,2019-01-18,Cash
678-79-0726,C,Warsaw,Member,Female,Sports and travel,856.4535,2019-01-18,Cash
166-19-2553,A,London,Member,Male,Sports and travel,561.078,2019-01-18,Cash
562-12-5430,A,London,Member,Female,Fashion accessories,277.6725,2019-01-18,Ewallet
779-06-0012,C,Warsaw,Member,Female,Home and lifestyle,93.0405,2019-01-19,Cash
728-47-9078,C,Warsaw,Member,Male,Food and beverages,250.278,2019-01-19,Cash
796-32-9050,A,London,Normal,Male,Food and beverages,323.064,2019-01-19,Cash
482-17-1179,A,London,Member,Male,Electronic accessories,37.611,2019-01-19,Credit card
894-41-5205,C,Warsaw,Normal,Female,Food and beverages,362.712,2019-01-19,Credit card
151-27-8496,C,Warsaw,Normal,Female,Electronic accessories,235.746,2019-01-19,Ewallet
284-54-4231,C,Warsaw,Member,Male,Sports and travel,84.9765,2019-01-19,Credit card
761-49-0439,B,Berlin,Member,Female,Electronic accessories,101.64,2019-01-19,Ewallet
125-45-2293,A,London,Normal,Female,Fashion accessories,624.33,2019-01-19,Cash
645-44-1170,A,London,Member,Male,Home and lifestyle,548.7615,2019-01-19,Ewallet
608-27-6295,B,Berlin,Member,Male,Electronic accessories,333.207,2019-01-19,Credit card
149-61-1929,A,London,Normal,Male,Sports and travel,673.995,2019-01-19,Credit card
832-51-6761,A,London,Normal,Male,Food and beverages,284.592,2019-01-19,Ewallet
809-69-9497,A,London,Normal,Female,Home and lifestyle,479.64,2019-01-19,Ewallet
882-40-4577,A,London,Member,Male,Sports and travel,282.492,2019-01-19,Credit card
375-72-3056,B,Berlin,Normal,Male,Sports and travel,198.639,2019-01-19,Ewallet
645-78-8093,A,London,Normal,Female,Sports and travel,195.594,2019-01-20,Ewallet
378-24-2715,B,Berlin,Normal,Male,Home and lifestyle,112.224,2019-01-20,Ewallet
787-87-2010,A,London,Member,Male,Health and beauty,233.1,2019-01-20,Credit card
817-48-8732,A,London,Member,Female,Home and lifestyle,759.675,2019-01-20,Cash
725-96-3778,C,Warsaw,Member,Female,Home and lifestyle,749.7,2019-01-20,Cash
760-27-5490,C,Warsaw,Normal,Male,Fashion accessories,131.208,2019-01-20,Ewallet
257-73-1380,C,Warsaw,Member,Male,Sports and travel,348.306,2019-01-20,Ewallet
356-44-8813,B,Berlin,Normal,Male,Home and lifestyle,118.062,2019-01-20,Credit card
458-10-8612,C,Warsaw,Normal,Male,Health and beauty,470.98800000000006,2019-01-20,Ewallet
410-67-1709,A,London,Member,Female,Fashion accessories,536.592,2019-01-20,Ewallet
329-62-1586,A,London,Normal,Male,Food and beverages,172.2105,2019-01-21,Credit card
269-10-8440,A,London,Member,Male,Health and beauty,390.7995,2019-01-21,Cash
870-72-4431,C,Warsaw,Normal,Female,Health and beauty,624.8969999999998,2019-01-21,Credit card
239-10-7476,A,London,Normal,Female,Home and lifestyle,491.085,2019-01-21,Ewallet
316-68-6352,A,London,Member,Female,Food and beverages,76.35600000000002,2019-01-21,Cash
401-18-8016,B,Berlin,Member,Female,Sports and travel,103.0365,2019-01-21,Cash
162-65-8559,C,Warsaw,Member,Male,Food and beverages,72.429,2019-01-21,Cash
462-67-9126,A,London,Normal,Male,Home and lifestyle,461.286,2019-01-21,Cash
756-01-7507,C,Warsaw,Normal,Female,Health and beauty,106.995,2019-01-22,Cash
120-54-2248,B,Berlin,Normal,Female,Food and beverages,151.515,2019-01-22,Credit card
186-09-3669,C,Warsaw,Member,Female,Health and beauty,85.5855,2019-01-22,Ewallet
460-35-4390,A,London,Normal,Male,Home and lifestyle,96.642,2019-01-22,Ewallet
521-18-7827,C,Warsaw,Member,Male,Home and lifestyle,206.7975,2019-01-22,Credit card
287-21-9091,A,London,Normal,Male,Home and lifestyle,705.6315,2019-01-22,Ewallet
563-47-4072,B,Berlin,Normal,Female,Health and beauty,351.603,2019-01-22,Cash
477-59-2456,C,Warsaw,Normal,Female,Fashion accessories,333.9840000000001,2019-01-23,Cash
219-61-4139,C,Warsaw,Normal,Male,Electronic accessories,87.234,2019-01-23,Ewallet
604-70-6476,A,London,Member,Male,Fashion accessories,94.185,2019-01-23,Ewallet
767-05-1286,C,Warsaw,Member,Female,Home and lifestyle,527.751,2019-01-23,Ewallet
809-46-1866,A,London,Normal,Male,Health and beauty,244.23,2019-01-23,Cash
434-83-9547,C,Warsaw,Member,Male,Food and beverages,323.148,2019-01-23,Cash
480-63-2856,C,Warsaw,Normal,Male,Food and beverages,161.7,2019-01-23,Ewallet
731-81-9469,C,Warsaw,Member,Female,Sports and travel,942.9,2019-01-23,Credit card
828-46-6863,A,London,Member,Male,Food and beverages,620.739,2019-01-23,Credit card
740-22-2500,C,Warsaw,Normal,Female,Electronic accessories,264.7575,2019-01-23,Cash
318-12-0304,A,London,Normal,Male,Fashion accessories,32.1405,2019-01-23,Ewallet
160-22-2687,A,London,Member,Female,Health and beauty,503.7375,2019-01-23,Ewallet
213-32-1216,A,London,Normal,Female,Electronic accessories,416.17800000000005,2019-01-23,Cash
790-38-4466,C,Warsaw,Normal,Female,Health and beauty,57.6975,2019-01-23,Credit card
148-41-7930,C,Warsaw,Normal,Male,Health and beauty,734.706,2019-01-23,Cash
316-66-3011,A,London,Member,Female,Food and beverages,450.1035,2019-01-23,Cash
565-80-5980,C,Warsaw,Member,Female,Home and lifestyle,198.996,2019-01-23,Cash
789-23-8625,B,Berlin,Member,Male,Fashion accessories,293.643,2019-01-24,Cash
778-34-2523,A,London,Member,Female,Electronic accessories,408.408,2019-01-24,Cash
443-60-9639,C,Warsaw,Member,Female,Home and lifestyle,63.9135,2019-01-24,Cash
726-27-2396,A,London,Normal,Female,Health and beauty,406.875,2019-01-24,Ewallet
237-44-6163,A,London,Normal,Male,Electronic accessories,88.704,2019-01-24,Cash
602-16-6955,B,Berlin,Normal,Female,Sports and travel,804.3,2019-01-24,Ewallet
775-72-1988,B,Berlin,Normal,Male,Home and lifestyle,384.72,2019-01-24,Ewallet
438-23-1242,B,Berlin,Normal,Male,Electronic accessories,557.7180000000002,2019-01-24,Ewallet
232-11-3025,A,London,Normal,Male,Sports and travel,827.085,2019-01-24,Cash
139-20-0155,B,Berlin,Member,Male,Electronic accessories,423.15,2019-01-24,Credit card
235-06-8510,C,Warsaw,Member,Male,Home and lifestyle,270.018,2019-01-24,Ewallet
510-79-0415,B,Berlin,Member,Female,Sports and travel,145.404,2019-01-24,Ewallet
435-13-4908,A,London,Member,Male,Fashion accessories,728.112,2019-01-24,Credit card
856-66-2701,A,London,Member,Male,Home and lifestyle,167.895,2019-01-25,Ewallet
888-02-0338,A,London,Normal,Male,Electronic accessories,247.8735,2019-01-25,Ewallet
824-88-3614,C,Warsaw,Normal,Male,Health and beauty,288.204,2019-01-25,Ewallet
394-55-6384,C,Warsaw,Member,Female,Sports and travel,663.2955,2019-01-25,Cash
280-17-4359,C,Warsaw,Member,Male,Health and beauty,950.25,2019-01-25,Cash
288-38-3758,C,Warsaw,Member,Female,Fashion accessories,267.3405,2019-01-25,Ewallet
191-10-6171,B,Berlin,Normal,Female,Fashion accessories,291.207,2019-01-25,Cash
145-94-9061,B,Berlin,Normal,Female,Food and beverages,463.89,2019-01-25,Cash
843-73-4724,A,London,Normal,Male,Fashion accessories,77.805,2019-01-25,Cash
268-03-6164,B,Berlin,Normal,Male,Health and beauty,100.9155,2019-01-25,Ewallet
569-71-4390,B,Berlin,Normal,Male,Sports and travel,45.927,2019-01-25,Ewallet
307-83-9164,A,London,Member,Male,Home and lifestyle,252.042,2019-01-25,Cash
340-21-9136,A,London,Member,Female,Sports and travel,168.21,2019-01-25,Cash
730-61-8757,B,Berlin,Member,Male,Health and beauty,214.746,2019-01-25,Credit card
283-79-9594,B,Berlin,Normal,Female,Food and beverages,356.5485,2019-01-25,Credit card
261-12-8671,B,Berlin,Normal,Female,Fashion accessories,128.016,2019-01-25,Credit card
778-71-5554,C,Warsaw,Member,Male,Fashion accessories,16.2015,2019-01-25,Credit card
258-69-7810,C,Warsaw,Normal,Female,Fashion accessories,193.4625,2019-01-26,Cash
176-78-1170,C,Warsaw,Member,Male,Health and beauty,106.5015,2019-01-26,Ewallet
225-32-0908,C,Warsaw,Normal,Female,Sports and travel,471.03,2019-01-26,Ewallet
173-82-9529,B,Berlin,Normal,Female,Fashion accessories,398.475,2019-01-26,Cash
316-55-4634,B,Berlin,Member,Male,Food and beverages,420.2625,2019-01-26,Credit card
289-65-5721,B,Berlin,Normal,Female,Fashion accessories,170.877,2019-01-26,Cash
452-04-8808,B,Berlin,Normal,Male,Electronic accessories,640.038,2019-01-26,Cash
641-43-2399,B,Berlin,Normal,Male,Home and lifestyle,107.31,2019-01-26,Ewallet
847-38-7188,B,Berlin,Normal,Female,Food and beverages,304.5420000000001,2019-01-26,Ewallet
834-61-8124,A,London,Normal,Male,Electronic accessories,379.9215,2019-01-26,Cash
794-42-3736,B,Berlin,Normal,Male,Food and beverages,69.993,2019-01-26,Credit card
539-21-7227,B,Berlin,Normal,Female,Sports and travel,270.585,2019-01-26,Cash
135-13-8269,B,Berlin,Member,Female,Food and beverages,165.648,2019-01-26,Cash
308-39-1707,A,London,Normal,Female,Fashion accessories,12.6945,2019-01-26,Credit card
896-34-0956,A,London,Normal,Male,Fashion accessories,22.386,2019-01-26,Cash
881-41-7302,C,Warsaw,Normal,Female,Fashion accessories,68.2395,2019-01-26,Credit card
836-82-5858,B,Berlin,Member,Male,Health and beauty,655.5465,2019-01-26,Ewallet
620-02-2046,C,Warsaw,Normal,Male,Home and lifestyle,145.74,2019-01-27,Ewallet
633-91-1052,A,London,Normal,Female,Home and lifestyle,25.263,2019-01-27,Cash
613-59-9758,C,Warsaw,Normal,Female,Sports and travel,150.78,2019-01-27,Cash
788-07-8452,C,Warsaw,Member,Female,Home and lifestyle,178.16400000000004,2019-01-27,Ewallet
534-01-4457,A,London,Normal,Male,Food and beverages,514.773,2019-01-27,Credit card
595-27-4851,A,London,Normal,Female,Fashion accessories,398.958,2019-01-27,Ewallet
624-01-8356,B,Berlin,Normal,Female,Home and lifestyle,514.605,2019-01-27,Credit card
585-90-0249,A,London,Member,Male,Electronic accessories,76.923,2019-01-27,Ewallet
862-59-8517,C,Warsaw,Normal,Female,Food and beverages,568.512,2019-01-27,Cash
869-11-3082,B,Berlin,Member,Male,Health and beauty,403.872,2019-01-27,Credit card
325-90-8763,C,Warsaw,Member,Female,Electronic accessories,488.985,2019-01-27,Cash
123-19-1176,A,London,Member,Male,Health and beauty,489.048,2019-01-27,Ewallet
394-41-0748,C,Warsaw,Member,Female,Fashion accessories,510.9615,2019-01-27,Ewallet
870-54-3162,A,London,Normal,Female,Sports and travel,169.3125,2019-01-27,Cash
342-65-4817,C,Warsaw,Member,Male,Health and beauty,273.42,2019-01-28,Ewallet
222-42-0244,B,Berlin,Member,Female,Health and beauty,681.4395,2019-01-28,Credit card
211-30-9270,C,Warsaw,Normal,Male,Health and beauty,91.4025,2019-01-28,Credit card
544-55-9589,B,Berlin,Member,Female,Electronic accessories,225.015,2019-01-28,Cash
593-65-1552,C,Warsaw,Normal,Female,Home and lifestyle,293.202,2019-01-28,Credit card
699-88-1972,B,Berlin,Normal,Male,Health and beauty,832.944,2019-01-28,Credit card
726-29-6793,A,London,Member,Male,Electronic accessories,203.112,2019-01-28,Ewallet
430-53-4718,B,Berlin,Member,Male,Health and beauty,633.1080000000002,2019-01-28,Credit card
865-41-9075,A,London,Normal,Male,Food and beverages,84.7455,2019-01-28,Cash
243-47-2663,C,Warsaw,Member,Male,Electronic accessories,118.251,2019-01-28,Credit card
372-26-1506,C,Warsaw,Normal,Female,Fashion accessories,125.055,2019-01-28,Ewallet
390-80-5128,B,Berlin,Member,Female,Health and beauty,20.1075,2019-01-28,Credit card
149-71-6266,B,Berlin,Member,Male,Sports and travel,737.7615,2019-01-28,Cash
